text,label
ချစ်ခြင်းတစ်ခုတည်းနဲ့ဘဲ မတည်မြဲနိုင်ပါဘူး,0
အားငယ်နေတဲ့အချိန် ဆွဲမိတဲ့ လက်တစ်စုံက မကောင်းတဲ့ လူတစ်ယောက်ရဲ့ လက်ဖြစ်နေမှန်း တဖြေးဖြေး ပိုသိလာခဲ့ရတယ်,0
စိတ်ညစ်ညစ်နဲ့ အကုန်ထားခဲ့ပီး ထွက်သွားလိုက်ချင်တယ်,0
ခုရက်ပိုင်းနေလို့ သိပ်အဆင်ပြေမနေဘူး စိတ်ထဲလဲမကောင်းဘူး သက်သက်ကြီးခွဲခြားဆက်ဆံတယ်လို့ ခံစားလာရတယ်,0
ဗိုက်ဝအောင်တောင် မနည်းရုန်းကန်နေရတဲ့ မြန်မာပြည်က အောက်ခြေလူတန်းစားတွေအတွက်တော့ လှောင်ပြောင်သံ တစ်ခုလိုပါပဲ,0
အခြေခံလူတန်းစားတွေဟာ သူတို့ရဲ့ ကျန်းမာရေးကို စတေးပြီး မိသားစု ဝမ်းရေးကို ဦးစားပေးနေကြရပါတယ်,0
ကျွန်တော်တို့ မဆက်သွယ်ဘဲနေရအောင်,0
ခဏဆုံခဲ့တယ်လို့ဘဲ ထားကြရအောင်,0
မြို့တွေက လူသူကင်းမဲ့သွားပြီး လမ်းတွေကဟာ ခြောက်ကပ်သွားလေ့ရှိပါတယ်,0
အခွင့်အရေးများ ဆုံးရှုံးရတော့မည် ဖြစ်၍ ဝမ်းသာခြင်းမရှိတော့ပါ ,0
မနက်ဖြန်ကိုမတွေးချင်လောက်အောင်စိတ်ပင်ပန်းတာတွေ ,0
အမြဲ ကြည့်လိုက်ရင် တစ်ယောက်တည်းပဲ မပျင်းဘူးလား တဲ့,0
ဘဝနေဝင်ချိန်ရောက်တဲ့အခါ တစ်နေ့တော့ ခွဲကိုခွဲရဦးမှာပါ,0
ထွက်ခွာသွားလို့လည်း စိတ်ဓါတ်ကျမသွားနဲ့ဦး,0
ဘဝရဲ လိုအပ်ချက်တွေကို လုံလောက်နေပေမယ့် လိုချင်တာများနေရင် ဘယ်တော့မှ ပျော်ခွင့်မရနိုင်ပါဘူး,0
ပိုင်ဆိုင်မှုနဲ့ အောင်မြင်မှုကိုလိုက်နေပြီး စိတ်ပျော်ရွှင်မှုကို မခံစားဖူးသူတွေ လောကကြီးထဲမှာ ဒုနဲ့ဒေးပဲ,0
နောက်ဆုံးမှာတော့ အသက်ကြီးပြီးမှ ဘဝမှာ ပျော်ရွှင်ခြင်းဆိုတာကိုတောင် သိနိုင်ခွင့်မရကြပဲ နောင်တတွေထဲမှာပဲ နေထိုင်အဆုံးသတ်သွားကြတယ်,0
ကိုယ့်ဘေးနားကလူတွေကို တစ်နေ့နေ့ ကိုယ့်ကိုနုတ်မဆက်ပဲ အလျှိုလျှိုထွက်သွား နေကြပြီ,0
အလွမ်းတွေနဲ့ပြည့်နှက်နေတဲ့ နွေဦးကာလလေးကို ရောက်ပြီ,0
ရိုးသားစွာ ပြောတဲ့အခါ လူတွေက သင့်ကို လျစ်လျူရှုသွားတာ ကြုံဖူးလား,0
စိတ်ရင်းနဲ့ပြောဆို ဆက်ဆံသမျှ အရာတွေဟာ တူညီသော တုန့်ပြန်မှုမရှိဘူးဆိုတာ,0
လက်ရှိရောက်နေတဲ့ နေရာနဲ့ ရှေ့မှာရှိနေတဲ့ အရာတွေက ငါ့အတွက် အကောင်းဆုံးပါပဲ,0
ဆက်ဆံရေးတွေ ခဏခဏ ပျက်စီးနေတာဟာ သင် ကံမကောင်းလို့ မဟုတ်ပါဘူး,0
တစ်ယောက်တည်း ဖြစ်သွားရင်လည်း တစ်ယောက်တည်းပဲ နေတတ်ရမယ်လေ,0
,
,
,
,
,
,
မနက်ခင်းနိုးထတိုင်း စိတ်နှလုံး သာယာ ရွှင်လန်းနိုင်ပါစေ,1
